	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12
x7	0.622733698412045	0.628487901288791	0.611227781209251	0.581948199898431	0.517258416480244	0.461070776663053	0.633703454617824	0.574159724414312	0.518905342903806	0.597062860279989	0.628618091486763	0.627926765666603	0.453723922925851	0.470367015290016	0.338073016744441	0.492842030060726	0.427119807758325	0.257667700925341	0	0.442807923020961	0.48387628186648	0.493080344884398	0.503811237313043	0.315829925063819	0.444967539152038	0.594663592193033	0.652763481149037	0.464206783895455	0.469772037934205	0.660513059829529	0.651651157045211	0.658902812281256	0.626082540728236	0.612769520045017	0.558617660783399	0.626055091201054
x8	0.572608755317689	0.560026349014657	0.51078722002635	0.570362034419345	0.553683170490723	0.539356680206389	0.553329307789427	0.484520803600834	0.492370183335163	0.458919430759308	0.474722801624767	0.484870524625708	0.233912828540826	0.175127286700427	0.317652225226091	0.344158252627241	0.236482961254359	0.402446222905542	0.442807923020961	0	0.11730631966178	0.258974534971515	0.388025267783576	0.356067571461898	0.633244585952296	0.497083727887796	0.589844929326197	0.620878970051333	0.550389724448348	0.510635961902671	0.545198786830801	0.494071471702256	0.495732125703307	0.460875531768904	0.544290595710228	0.517826265953067
x9	0.565919134802778	0.550535273126544	0.488827275721972	0.566856076203025	0.583717610891524	0.575730127360562	0.565550370573703	0.50485836627141	0.52209595959596	0.467369374562523	0.451361440491875	0.475591177964124	0.22196280934985	0.212698499842161	0.361304401531684	0.31149793232308	0.210529206602038	0.434039456884361	0.48387628186648	0.11730631966178	0	0.218776171451323	0.356067681151459	0.378422518973965	0.662192209503418	0.504961638232751	0.586313853586232	0.649993136582018	0.568291611769873	0.545307310110077	0.541196008729189	0.499533351633269	0.524525815925997	0.496390436715984	0.573144119786449	0.541791331558288
x10	0.502106924713472	0.471758198015181	0.471097750140702	0.579113533101811	0.583732517122583	0.574865833070261	0.591423826060698	0.534101047256955	0.532701044511852	0.512229939330716	0.439504783342712	0.492093993631273	0.249000782891755	0.353017075715149	0.418672962363082	0.253888430887606	0.266702371633777	0.447934973637961	0.493080344884398	0.258974534971515	0.218776171451323	0	0.216894444062908	0.414845723070166	0.655790586265116	0.539065502662933	0.573261958685059	0.655835152313881	0.595207049425587	0.59959369123279	0.523499698017899	0.524521982622541	0.549598517603459	0.529833230389129	0.587295486988031	0.583775993411571
x11	0.498118907043801	0.449442522106882	0.523563660331759	0.613709389503749	0.618821397188049	0.615608523725835	0.671472510572857	0.613768673110721	0.595727152899824	0.594200112592511	0.494452987697715	0.569249358103006	0.320353933664917	0.475249564035317	0.49770009199632	0.256161088584977	0.348627634145671	0.467935775406211	0.503811237313043	0.388025267783576	0.356067681151459	0.216894444062908	0	0.490876137908308	0.678109466399363	0.603004380243591	0.591047645201153	0.670685819440248	0.653613796133568	0.670996622085519	0.55623601136941	0.585818641181963	0.607030070026088	0.595194288068104	0.630844008732545	0.647315666620898
x12	0.638918236577434	0.631032258949766	0.566380789022298	0.593973407247829	0.558744837616454	0.501639614176145	0.500761536245009	0.506716243842872	0.510146399023092	0.540724478594951	0.557372775544366	0.565791279053813	0.395850781925775	0.298224429869096	0.323765093304061	0.449853034090597	0.363058548973849	0.401465865107469	0.315829925063819	0.356067571461898	0.378422518973965	0.414845723070166	0.490876137908308	0	0.600367742909286	0.541205850874063	0.626953526982341	0.591623324047263	0.474363020183033	0.538180770339064	0.612146326737836	0.596948366470451	0.604066903582552	0.571026742223625	0.582530666008068	0.551680136112293
c1	0.669493386025578	0.693525811674946	0.670179772197063	0.655642770885937	0.60380361700376	0.567578693158429	0.742981035760353	0.669996432393864	0.620763467713164	0.669571183533448	0.712615604160378	0.694910602796493	0.601417037403197	0.683229728431655	0.552768439108062	0.644702682655458	0.616447007138935	0.449219661510164	0.444967539152038	0.633244585952296	0.662192209503418	0.655790586265116	0.678109466399363	0.600367742909286	0	0.459278470764206	0.427603051759153	0.189805665349144	0.292351601306293	0.611318476232298	0.538759211230497	0.50789033125669	0.42222405181404	0.440419342444701	0.359084484816883	0.490284867446073
c2	0.65467843078063	0.65096397941681	0.580491553567263	0.619831762106679	0.628864281891903	0.618600694301513	0.615670668953688	0.580290618696744	0.592667297849861	0.546819254624293	0.591432374209306	0.595104146656055	0.468014115256285	0.493948458984	0.56323069323234	0.536166588829977	0.490506720116418	0.575946413374695	0.594663592193033	0.497083727887796	0.504961638232751	0.539065502662933	0.603004380243591	0.541205850874063	0.459278470764206	0	0.300520054338131	0.438413504425993	0.348783600214053	0.361903585690173	0.304800065867113	0.2572487135506	0.279361115303868	0.31726058976083	0.409561184445237	0.369156249571195
c3	0.638830954994511	0.635939515354428	0.607926009276285	0.667846753389319	0.674734502346258	0.67583216706457	0.693789621010456	0.663593205455394	0.665870859745891	0.605455618216496	0.617244312724678	0.638808468599498	0.509693541300527	0.593012884723575	0.653507869207865	0.54700913398805	0.56938114326506	0.617826701620984	0.652763481149037	0.589844929326197	0.586313853586232	0.573261958685059	0.591047645201153	0.626953526982341	0.427603051759153	0.300520054338131	0	0.468106713509359	0.394555582997174	0.523958504857566	0.263471328402651	0.312000878179972	0.35096048298573	0.425274423710209	0.473305799865534	0.457958287596048
c4	0.656282593182193	0.689567150660116	0.655211221212703	0.615310715854194	0.583422533278441	0.541237820776726	0.744050723245409	0.665541375051461	0.603101413476053	0.671373872946601	0.713187868807465	0.695727950157131	0.591815435319967	0.672627461744322	0.513359957182264	0.639251026884453	0.598775263620387	0.434854828745967	0.464206783895455	0.620878970051333	0.649993136582018	0.655835152313881	0.670685819440248	0.591623324047263	0.189805665349144	0.438413504425993	0.468106713509359	0	0.315136544531357	0.595136144049188	0.536265696836616	0.503719155710482	0.417686776088269	0.420705934017676	0.306234475565741	0.497502332985673
c5	0.67421311160506	0.679720087815587	0.619353422251496	0.618238700293641	0.581801218374403	0.537017726798749	0.615312843029638	0.568080785906372	0.573129905054607	0.580411904337207	0.631633829098293	0.622655488934319	0.539775379630392	0.558308977894867	0.526707921131708	0.599296770914885	0.556791038629437	0.494310929329252	0.469772037934205	0.550389724448348	0.568291611769873	0.595207049425587	0.653613796133568	0.474363020183033	0.292351601306293	0.348783600214053	0.394555582997174	0.315136544531357	0	0.42635637640989	0.440442377090794	0.405735455543359	0.357591723608024	0.387064021294696	0.344511065680611	0.345050904201312
c6	0.701794829573522	0.680736613881494	0.623713462330177	0.659100889230431	0.660144350832899	0.632618897335273	0.504761643384472	0.529377864376081	0.587365185652735	0.528617495711835	0.588929443727874	0.597513618837219	0.570577250508046	0.491444019046835	0.585289879931389	0.631763299954671	0.585749588138386	0.656651064472293	0.660513059829529	0.510635961902671	0.545307310110077	0.59959369123279	0.670996622085519	0.538180770339064	0.611318476232298	0.361903585690173	0.523958504857566	0.595136144049188	0.42635637640989	0	0.486202022697021	0.380300244257211	0.410285965201164	0.41355178659641	0.49476515224282	0.304627037707887
c7	0.623804492501063	0.57853859348199	0.583922273606785	0.658776227134878	0.670549815447523	0.665116151429081	0.666607204116638	0.618134167592859	0.632541610066	0.581508315494813	0.554768863458609	0.598342435302835	0.514231968034711	0.575706013118533	0.623689554860311	0.542649927199802	0.561565601790201	0.634748949954704	0.651651157045211	0.545198786830801	0.541196008729189	0.523499698017899	0.55623601136941	0.612146326737836	0.538759211230497	0.304800065867113	0.263471328402651	0.536265696836616	0.440442377090794	0.486202022697021	0	0.263780445969125	0.314214361183913	0.348793172057028	0.494662312357639	0.470230662623324
c8	0.646066028156645	0.62003951918327	0.590103194642661	0.654801438098636	0.665175631174533	0.659989023051592	0.652423294363028	0.589571899012075	0.616053787047201	0.545096532513687	0.560098792535675	0.578589168347535	0.48889194013456	0.516322469982847	0.601547813439082	0.549826243424035	0.538288350127674	0.63727952782925	0.658902812281256	0.494071471702256	0.499533351633269	0.524521982622541	0.585818641181963	0.596948366470451	0.50789033125669	0.2572487135506	0.312000878179972	0.503719155710482	0.405735455543359	0.380300244257211	0.263780445969125	0	0.191745108263125	0.261478086665386	0.41245077457155	0.377644831087571
c9	0.656888035126235	0.635692527237301	0.613881494085682	0.655689115758274	0.642545484481765	0.628769792266952	0.663300310107303	0.599956093411268	0.596525891166543	0.572716420368007	0.597513789413024	0.59336452573373	0.506233523725835	0.553988226738203	0.575433252377228	0.577419133301284	0.555296249519521	0.61005805893737	0.626082540728236	0.495732125703307	0.524525815925997	0.549598517603459	0.607030070026088	0.604066903582552	0.42222405181404	0.279361115303868	0.35096048298573	0.417686776088269	0.357591723608024	0.410285965201164	0.314214361183913	0.191745108263125	0	0.210757409440176	0.312797574127688	0.33172338090011
c10	0.647228320526893	0.623590109498065	0.615857507478662	0.657061309621823	0.62158008836201	0.584698553826734	0.640248085842092	0.58623528443237	0.573282840756291	0.559653672525693	0.600285392826761	0.595532443297979	0.480612917398946	0.514195150733428	0.499910811070404	0.556349151843967	0.537038053923453	0.564324635930659	0.612769520045017	0.460875531768904	0.496390436715984	0.529833230389129	0.595194288068104	0.571026742223625	0.440419342444701	0.31726058976083	0.425274423710209	0.420705934017676	0.387064021294696	0.41355178659641	0.348793172057028	0.261478086665386	0.210757409440176	0	0.303824041931368	0.35738199780461
c11	0.648632702624827	0.654413479877605	0.63326243567753	0.646143502065123	0.606218185310703	0.560528518310168	0.681005502270887	0.596503985840319	0.568239507155304	0.615806805708013	0.65333479686621	0.634450207184216	0.54699106174399	0.592030516754027	0.441053787047201	0.603768920143944	0.564692154574782	0.509264596887095	0.558617660783399	0.544290595710228	0.573144119786449	0.587295486988031	0.630844008732545	0.582530666008068	0.359084484816883	0.409561184445237	0.473305799865534	0.306234475565741	0.344511065680611	0.49476515224282	0.494662312357639	0.41245077457155	0.312797574127688	0.303824041931368	0	0.308077551076412
c12	0.683479692645445	0.668788934932353	0.620468205395614	0.642296503650036	0.642161301830356	0.618561510386652	0.583413375778699	0.523339096073104	0.563294091819654	0.554165123012116	0.603303970802119	0.601048284189295	0.549456282952548	0.524184584985661	0.544971802576874	0.604395302520431	0.575641096040854	0.616563954046969	0.626055091201054	0.517826265953067	0.541791331558288	0.583775993411571	0.647315666620898	0.551680136112293	0.490284867446073	0.369156249571195	0.457958287596048	0.497502332985673	0.345050904201312	0.304627037707887	0.470230662623324	0.377644831087571	0.33172338090011	0.35738199780461	0.308077551076412	0
